,Name,Strand,Start,Stop,Note,Genome,Counts
0,thrL,+,190,255,thr operon leader peptide,ecoli,216
1,thrA,+,337,2799,bifunctional: aspartokinase I (N-terminal)%3B homoserine dehydrogenase I (C-terminal),ecoli,2588
2,thrB,+,2801,3733,homoserine kinase,ecoli,1547
3,thrC,+,3734,5020,threonine synthase,ecoli,1655
4,yaaX,+,5234,5530,hypothetical protein,ecoli,18
5,talB,+,8238,9191,transaldolase B,ecoli,3068
6,mog,+,9306,9893,putative molybdochetalase in molybdopterine biosynthesis,ecoli,434
7,dnaK,+,12163,14079,chaperone Hsp70%3B DNA biosynthesis%3B autoregulated heat shock proteins,ecoli,24530
8,dnaJ,+,14168,15298,chaperone with DnaK%3B heat shock protein,ecoli,3530
9,insL1,+,15445,16557,IS186 transposase,ecoli,1072
10,nhaA,+,17489,18655,Na+/H antiporter%2C pH dependent,ecoli,392
11,nhaR,+,18715,19620,transcriptional activator of nhaA,ecoli,285
12,yaaY,+,21181,21399,hypothetical protein,ecoli,69
13,ribF,+,21407,22348,bifunctional riboflavin kinase/FAD synthetase,ecoli,1332
14,ileS,+,22391,25207,isoleucine tRNA synthetase,ecoli,9690
15,lspA,+,25207,25701,prolipoprotein signal peptidase (SPase II),ecoli,908
16,fkpB,+,25826,26275,FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase),ecoli,540
17,ispH,+,26277,27227,4-hydroxy-3-methylbut-2-enyl diphosphate reductase%2C 4Fe-4S protein,ecoli,1214
18,rihC,+,27293,28207,ribonucleoside hydrolase 3,ecoli,188
19,dapB,+,28374,29195,dihydrodipicolinate reductase,ecoli,281
20,carA,+,29651,30799,carbamoyl phosphate synthetase small subunit%2C glutamine amidotransferase,ecoli,261
21,carB,+,30817,34038,carbamoyl-phosphate synthase large subunit,ecoli,1093
22,caiF,+,34300,34695,transcriptional regulator of cai operon,ecoli,168
23,fixA,+,42403,43173,probable flavoprotein subunit%2C carnitine metabolism,ecoli,46
24,fixB,+,43188,44129,probable flavoprotein subunit%2C carnitine metabolism,ecoli,30
25,fixC,+,44180,45466,flavoprotein%3B electron transport,ecoli,72
26,fixX,+,45463,45750,putative ferredoxin,ecoli,24
27,yaaU,+,45807,47138,putative transport protein,ecoli,114
28,kefF,+,47246,47776,putative NAD(P)H oxidoreductase,ecoli,49
29,kefC,+,47769,49631,K+ efflux antiporter%2C glutathione-regulated,ecoli,218
