,Name,Strand,Start,Stop,Note,Genome,Counts
0,thrL,+,190,255,thr operon leader peptide,ecoli,164
1,thrA,+,337,2799,bifunctional: aspartokinase I (N-terminal)%3B homoserine dehydrogenase I (C-terminal),ecoli,399
2,thrB,+,2801,3733,homoserine kinase,ecoli,246
3,thrC,+,3734,5020,threonine synthase,ecoli,393
4,yaaX,+,5234,5530,hypothetical protein,ecoli,2
5,talB,+,8238,9191,transaldolase B,ecoli,2350
6,mog,+,9306,9893,putative molybdochetalase in molybdopterine biosynthesis,ecoli,131
7,dnaK,+,12163,14079,chaperone Hsp70%3B DNA biosynthesis%3B autoregulated heat shock proteins,ecoli,12471
8,dnaJ,+,14168,15298,chaperone with DnaK%3B heat shock protein,ecoli,1257
9,insL1,+,15445,16557,IS186 transposase,ecoli,180
10,nhaA,+,17489,18655,Na+/H antiporter%2C pH dependent,ecoli,406
11,nhaR,+,18715,19620,transcriptional activator of nhaA,ecoli,108
12,yaaY,+,21181,21399,hypothetical protein,ecoli,12
13,ribF,+,21407,22348,bifunctional riboflavin kinase/FAD synthetase,ecoli,426
14,ileS,+,22391,25207,isoleucine tRNA synthetase,ecoli,1861
15,lspA,+,25207,25701,prolipoprotein signal peptidase (SPase II),ecoli,192
16,fkpB,+,25826,26275,FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase),ecoli,143
17,ispH,+,26277,27227,4-hydroxy-3-methylbut-2-enyl diphosphate reductase%2C 4Fe-4S protein,ecoli,167
18,rihC,+,27293,28207,ribonucleoside hydrolase 3,ecoli,378
19,dapB,+,28374,29195,dihydrodipicolinate reductase,ecoli,251
20,carA,+,29651,30799,carbamoyl phosphate synthetase small subunit%2C glutamine amidotransferase,ecoli,80
21,carB,+,30817,34038,carbamoyl-phosphate synthase large subunit,ecoli,257
22,caiF,+,34300,34695,transcriptional regulator of cai operon,ecoli,90
23,fixA,+,42403,43173,probable flavoprotein subunit%2C carnitine metabolism,ecoli,40
24,fixB,+,43188,44129,probable flavoprotein subunit%2C carnitine metabolism,ecoli,23
25,fixC,+,44180,45466,flavoprotein%3B electron transport,ecoli,21
26,fixX,+,45463,45750,putative ferredoxin,ecoli,11
27,yaaU,+,45807,47138,putative transport protein,ecoli,25
28,kefF,+,47246,47776,putative NAD(P)H oxidoreductase,ecoli,61
29,kefC,+,47769,49631,K+ efflux antiporter%2C glutathione-regulated,ecoli,231
30,folA,+,49823,50302,dihydrofolate reductase type I%3B trimethoprim resistance,ecoli,96
31,djlA,+,57364,58179,DnaJ-like protein%2C membrane anchored,ecoli,73
32,yabP,+,58474,59052,pseudogene,ecoli,48
33,yabP,+,59052,59228,pseudogene,ecoli,10
34,yabP,+,59228,59269,pseudogene,ecoli,14
35,araC,+,70387,71265,transcriptional regulator for ara operon,ecoli,365
