,Name,Strand,Start,Stop,Note,Genome,Counts
0,thrL,+,190,255,thr operon leader peptide,ecoli,462
1,thrA,+,337,2799,bifunctional: aspartokinase I (N-terminal)%3B homoserine dehydrogenase I (C-terminal),ecoli,1077
2,thrB,+,2801,3733,homoserine kinase,ecoli,750
3,thrC,+,3734,5020,threonine synthase,ecoli,1076
4,yaaX,+,5234,5530,hypothetical protein,ecoli,21
5,talB,+,8238,9191,transaldolase B,ecoli,7891
6,mog,+,9306,9893,putative molybdochetalase in molybdopterine biosynthesis,ecoli,341
7,dnaK,+,12163,14079,chaperone Hsp70%3B DNA biosynthesis%3B autoregulated heat shock proteins,ecoli,10867
8,dnaJ,+,14168,15298,chaperone with DnaK%3B heat shock protein,ecoli,1579
9,insL1,+,15445,16557,IS186 transposase,ecoli,326
10,nhaA,+,17489,18655,Na+/H antiporter%2C pH dependent,ecoli,1401
11,nhaR,+,18715,19620,transcriptional activator of nhaA,ecoli,332
12,yaaY,+,21181,21399,hypothetical protein,ecoli,44
13,ribF,+,21407,22348,bifunctional riboflavin kinase/FAD synthetase,ecoli,972
14,ileS,+,22391,25207,isoleucine tRNA synthetase,ecoli,6157
15,lspA,+,25207,25701,prolipoprotein signal peptidase (SPase II),ecoli,776
16,fkpB,+,25826,26275,FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase),ecoli,393
17,ispH,+,26277,27227,4-hydroxy-3-methylbut-2-enyl diphosphate reductase%2C 4Fe-4S protein,ecoli,584
18,rihC,+,27293,28207,ribonucleoside hydrolase 3,ecoli,767
19,dapB,+,28374,29195,dihydrodipicolinate reductase,ecoli,650
20,carA,+,29651,30799,carbamoyl phosphate synthetase small subunit%2C glutamine amidotransferase,ecoli,72
21,carB,+,30817,34038,carbamoyl-phosphate synthase large subunit,ecoli,336
22,caiF,+,34300,34695,transcriptional regulator of cai operon,ecoli,267
23,fixA,+,42403,43173,probable flavoprotein subunit%2C carnitine metabolism,ecoli,41
24,fixB,+,43188,44129,probable flavoprotein subunit%2C carnitine metabolism,ecoli,69
25,fixC,+,44180,45466,flavoprotein%3B electron transport,ecoli,68
26,fixX,+,45463,45750,putative ferredoxin,ecoli,13
27,yaaU,+,45807,47138,putative transport protein,ecoli,50
28,kefF,+,47246,47776,putative NAD(P)H oxidoreductase,ecoli,187
29,kefC,+,47769,49631,K+ efflux antiporter%2C glutathione-regulated,ecoli,726
30,folA,+,49823,50302,dihydrofolate reductase type I%3B trimethoprim resistance,ecoli,292
31,djlA,+,57364,58179,DnaJ-like protein%2C membrane anchored,ecoli,207
32,yabP,+,58474,59052,pseudogene,ecoli,132
33,yabP,+,59052,59228,pseudogene,ecoli,39
34,yabP,+,59228,59269,pseudogene,ecoli,24
35,araC,+,70387,71265,transcriptional regulator for ara operon,ecoli,819
36,yabI,+,71351,72115,inner membrane protein%2C SNARE_assoc family,ecoli,323
37,sgrT,+,77388,77519,Inhibitor of glucose uptake,ecoli,147
38,setA,+,77621,78799,broad specificity sugar efflux system,ecoli,231
39,leuO,+,84368,85312,probable transcriptional activator for leuABCD operon,ecoli,73
40,ilvI,+,85630,87354,acetolactate synthase III%2C valine sensitive%2C large subunit,ecoli,204
41,ilvH,+,87357,87848,acetolactate synthase III%2C valine sensitive%2C small subunit,ecoli,42
42,cra,+,88028,89032,transcriptional repressor of fru operon and others,ecoli,1240
43,mraZ,+,89634,90092,RsmH methytransferase inhibitor,ecoli,767
44,rsmH,+,90094,91035,putative apolipoprotein,ecoli,1160
45,ftsL,+,91032,91397,cell division protein%3B ingrowth of wall at septum,ecoli,343
46,ftsI,+,91413,93179,septum formation%3B penicillin-binding protein 3%3B peptidoglycan synthetase,ecoli,1962
47,murE,+,93166,94653,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase,ecoli,1921
48,murF,+,94650,96008,UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase,ecoli,1187
49,mraY,+,96002,97084,phospho-N-acetylmuramoyl-pentapeptide transferase?,ecoli,997
50,murD,+,97087,98403,UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase,ecoli,1442
51,ftsW,+,98403,99647,cell division%3B membrane protein involved in shape determination,ecoli,765
52,murG,+,99644,100711,N-acetylglucosaminyl transferase,ecoli,778
53,murC,+,100765,102240,UDP-N-acetylmuramate:L-alanine ligase,ecoli,1244
54,ddlB,+,102233,103153,D-alanine-D-alanine ligase B%2C affects cell division,ecoli,1160
55,ftsQ,+,103155,103985,cell division protein%3B ingrowth of wall at septum,ecoli,1293
56,ftsA,+,103982,105244,ATP-binding cell division protein%2C septation process%2C complexes with FtsZ%2C associated with junctions of inner and outer membranes,ecoli,2266
57,ftsZ,+,105305,106456,cell division%3B forms circumferential ring%3B tubulin-like GTP-binding protein and GTPase,ecoli,5996
58,lpxC,+,106557,107474,UDP-3-O-acyl N-acetylglucosamine deacetylase%3B lipid A biosynthesis,ecoli,5413
59,secM,+,107705,108217,regulator of secA translation,ecoli,460
