,Name,Strand,Start,Stop,Note,Genome,Counts
0,dnaA,+,410,1750,binds to the dnaA-box as an ATP-bound complex at the origin of replication during the initiation of chromosomal replication%3B can also affect transcription of multiple genes including itself.,NC_000964.3,0
1,dnaN,+,1939,3075,binds the polymerase to DNA and acts as a sliding clamp,NC_000964.3,0
2,yaaA,+,3206,3421,'Evidence 3: Function proposed based on presence of conserved amino acid motif%2C structural feature or limited homology%3B Product type pf: factor',NC_000964.3,0
3,recF,+,3437,4549,'Required for DNA replication%3B binds preferentially to single-stranded%2C linear DNA',NC_000964.3,0
4,yaaB,+,4567,4812,Evidence 4: Homologs of previously reported genes of unknown function,NC_000964.3,0
5,gyrB,+,4867,6783,negatively supercoils closed circular double-stranded DNA,NC_000964.3,1
6,gyrA,+,6994,9459,negatively supercoils closed circular double-stranded DNA,NC_000964.3,3
7,guaB,+,15915,17381,catalyzes the synthesis of xanthosine monophosphate by the NAD+ dependent oxidation of inosine monophosphate,NC_000964.3,2
8,dacA,+,17534,18865,'Evidence 1a: Function experimentally demonstrated in the studied strain%3B PubMedId: 8370539%2C 9864321%3B Product type e: enzyme',NC_000964.3,0
9,yaaD,+,19062,19946,'with PdxT forms pyridoxal 5'-phosphate from glutamine%2C either ribose 5-phosphate or ribulose 5-phosphate%2C and either glyceraldehyde 3-phosphate or dihydroxyacetone phosphate',NC_000964.3,1
10,yaaE,+,19968,20558,with PdxST is involved in the biosynthesis of pyridoxal 5'-phosphate%3B PdxT catalyzes the hydrolysis of glutamine to glutamate and ammonia%3B PdxS utilizes the ammonia to synthesize pyridoxal 5'-phosphate,NC_000964.3,0
11,serS,+,20880,22157,'catalyzes a two-step reaction%2C first charging a serine molecule by linking its carboxyl group to the alpha-phosphate of ATP%2C followed by transfer of the aminoacyl-adenylate to its tRNA',NC_000964.3,1
12,tadA,+,25852,26337,'Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism%3B PubMedId: 16014871%2C 16700551%3B Product type e: enzyme',NC_000964.3,0
13,dnaX,+,26814,28505,'catalyzes the DNA-template-directed extension of the 3'-end of a DNA strand the tau chain serves as a scaffold to help in the dimerizaton of the alpha%2Cepsilon and theta core complex%3B the gamma chain seems to interact with the delta and delta' subunits to transfer the beta subunit on the DNA',NC_000964.3,0
14,yaaK,+,28529,28852,Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism%3B PubMedId: 16740939%3B Product type f: factor,NC_000964.3,1
15,recR,+,28867,29463,'involved in a recombinational process of DNA repair%2C independent of the recBC complex',NC_000964.3,0
16,yaaL,+,29481,29705,Evidence 4: Homologs of previously reported genes of unknown function,NC_000964.3,0
17,bofA,+,29772,30035,Evidence 1a: Function experimentally demonstrated in the studied strain%3B PubMedId: 15087499%3B Product type r: regulator,NC_000964.3,0
18,csfB,+,35531,35725,'Evidence 1a: Function experimentally demonstrated in the studied strain%3B PubMedId: 15044948%2C 8759874%3B Product type cp: cell process',NC_000964.3,0
19,xpaC,+,35845,36459,'Evidence 3: Function proposed based on presence of conserved amino acid motif%2C structural feature or limited homology%3B Product type pe: enzyme',NC_000964.3,0
20,yaaN,+,36478,37638,Evidence 4: Homologs of previously reported genes of unknown function%3B PubMedId: 12533473,NC_000964.3,0
21,yaaO,+,37720,39162,'Evidence 3: Function proposed based on presence of conserved amino acid motif%2C structural feature or limited homology%3B PubMedId: 9723923%3B Product type pe : enzyme',NC_000964.3,0
22,tmk,+,39159,39797,catalyzes the reversible phosphoryl transfer from adenosine triphosphate (ATP) to thymidine monophosphate (dTMP) to form thymidine diphosphate (dTDP),NC_000964.3,0
23,yaaQ,+,39871,40200,Evidence 4: Homologs of previously reported genes of unknown function%3B PubMedId: 10913081,NC_000964.3,0
24,yaaR,+,40213,40653,Evidence 4: Homologs of previously reported genes of unknown function,NC_000964.3,0
25,holB,+,40665,41654,catalyzes the DNA-template-directed extension of the 3'-end of a DNA strand%3B the delta' subunit seems to interact with the gamma subunit to transfer the beta subunit on the DNA,NC_000964.3,0
26,yaaT,+,41657,42484,Evidence 4: Homologs of previously reported genes of unknown function%3B PubMedId: 12270811,NC_000964.3,0
27,yabA,+,42499,42858,in Bacillus subtilis this protein is involved in the negative regulation of DNA replication initiation%3B interacts with DnaN and DnaA,NC_000964.3,0
28,yabB,+,42917,43660,'Evidence 3: Function proposed based on presence of conserved amino acid motif%2C structural feature or limited homology%3B Product type pe: enzyme',NC_000964.3,0
29,yazA,+,43647,43946,'Evidence 3: Function proposed based on presence of conserved amino acid motif%2C structural feature or limited homology%3B PubMedId: 11483577%3B Product type pe : enzyme',NC_000964.3,0
30,yabC,+,43921,44799,'Evidence 3: Function proposed based on presence of conserved amino acid motif%2C structural feature or limited homology%3B PubMedId: 16014871%3B Product type pe : enzyme',NC_000964.3,0
31,metS,+,45633,47627,methionine--tRNA ligase%3B MetRS%3B adds methionine to tRNA(Met) with cleavage of ATP to AMP and diphosphate%3B some MetRS enzymes form dimers depending on a C-terminal domain that is also found in other proteins such as Trbp111 in Aquifex aeolicus and the cold-shock protein CsaA from Bacillus subtilis while others do not%3B four subfamilies exist based on sequence motifs and zinc content,NC_000964.3,1
32,yabD,+,47706,48473,'Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism%3B PubMedId: 10747959%2C 16014871%3B Product type e: enzyme',NC_000964.3,0
33,yabE,+,48629,49942,'Evidence 3: Function proposed based on presence of conserved amino acid motif%2C structural feature or limited homology%3B PubMedId: 15774001%2C 19047346%3B Product type pe: enzyme',NC_000964.3,0
34,rnmV,+,50087,50647,'Evidence 1a: Function experimentally demonstrated in the studied strain%3B PubMedId: 11233981%2C 11976317%2C 12794188%2C 16077031%3B Product type e: enzyme',NC_000964.3,0
35,ksgA,+,50640,51518,catalyzes the transfer of a total of four methyl groups from S-adenosyl-l-methionine (S-AdoMet) to two adjacent adenosine bases A1518 and A1519 in 16S rRNA%3B mutations in ksgA causes resistance to the translation initiation inhibitor kasugamycin,NC_000964.3,0
