,Name,Strand,Start,Stop,Note,Genome,Counts
0,thrL,+,190,255,thr operon leader peptide,ecoli,0
1,thrA,+,337,2799,bifunctional: aspartokinase I (N-terminal)%3B homoserine dehydrogenase I (C-terminal),ecoli,0
2,thrB,+,2801,3733,homoserine kinase,ecoli,0
3,thrC,+,3734,5020,threonine synthase,ecoli,0
4,yaaX,+,5234,5530,hypothetical protein,ecoli,0
5,talB,+,8238,9191,transaldolase B,ecoli,0
6,mog,+,9306,9893,putative molybdochetalase in molybdopterine biosynthesis,ecoli,0
7,dnaK,+,12163,14079,chaperone Hsp70%3B DNA biosynthesis%3B autoregulated heat shock proteins,ecoli,0
8,dnaJ,+,14168,15298,chaperone with DnaK%3B heat shock protein,ecoli,0
9,insL1,+,15445,16557,IS186 transposase,ecoli,0
10,nhaA,+,17489,18655,Na+/H antiporter%2C pH dependent,ecoli,0
11,nhaR,+,18715,19620,transcriptional activator of nhaA,ecoli,0
12,yaaY,+,21181,21399,hypothetical protein,ecoli,0
13,ribF,+,21407,22348,bifunctional riboflavin kinase/FAD synthetase,ecoli,0
14,ileS,+,22391,25207,isoleucine tRNA synthetase,ecoli,0
15,lspA,+,25207,25701,prolipoprotein signal peptidase (SPase II),ecoli,0
16,fkpB,+,25826,26275,FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase),ecoli,0
17,ispH,+,26277,27227,4-hydroxy-3-methylbut-2-enyl diphosphate reductase%2C 4Fe-4S protein,ecoli,0
18,rihC,+,27293,28207,ribonucleoside hydrolase 3,ecoli,0
19,dapB,+,28374,29195,dihydrodipicolinate reductase,ecoli,0
20,carA,+,29651,30799,carbamoyl phosphate synthetase small subunit%2C glutamine amidotransferase,ecoli,0
21,carB,+,30817,34038,carbamoyl-phosphate synthase large subunit,ecoli,0
22,caiF,+,34300,34695,transcriptional regulator of cai operon,ecoli,0
23,fixA,+,42403,43173,probable flavoprotein subunit%2C carnitine metabolism,ecoli,0
24,fixB,+,43188,44129,probable flavoprotein subunit%2C carnitine metabolism,ecoli,0
25,fixC,+,44180,45466,flavoprotein%3B electron transport,ecoli,0
26,fixX,+,45463,45750,putative ferredoxin,ecoli,0
27,yaaU,+,45807,47138,putative transport protein,ecoli,0
28,kefF,+,47246,47776,putative NAD(P)H oxidoreductase,ecoli,0
29,kefC,+,47769,49631,K+ efflux antiporter%2C glutathione-regulated,ecoli,0
30,folA,+,49823,50302,dihydrofolate reductase type I%3B trimethoprim resistance,ecoli,0
31,djlA,+,57364,58179,DnaJ-like protein%2C membrane anchored,ecoli,0
32,yabP,+,58474,59052,pseudogene,ecoli,0
33,yabP,+,59052,59228,pseudogene,ecoli,0
34,yabP,+,59228,59269,pseudogene,ecoli,0
35,araC,+,70387,71265,transcriptional regulator for ara operon,ecoli,0
36,yabI,+,71351,72115,inner membrane protein%2C SNARE_assoc family,ecoli,0
37,sgrT,+,77388,77519,Inhibitor of glucose uptake,ecoli,0
38,setA,+,77621,78799,broad specificity sugar efflux system,ecoli,0
39,leuO,+,84368,85312,probable transcriptional activator for leuABCD operon,ecoli,0
40,ilvI,+,85630,87354,acetolactate synthase III%2C valine sensitive%2C large subunit,ecoli,0
41,ilvH,+,87357,87848,acetolactate synthase III%2C valine sensitive%2C small subunit,ecoli,0
42,cra,+,88028,89032,transcriptional repressor of fru operon and others,ecoli,0
43,mraZ,+,89634,90092,RsmH methytransferase inhibitor,ecoli,0
44,rsmH,+,90094,91035,putative apolipoprotein,ecoli,0
45,ftsL,+,91032,91397,cell division protein%3B ingrowth of wall at septum,ecoli,0
46,ftsI,+,91413,93179,septum formation%3B penicillin-binding protein 3%3B peptidoglycan synthetase,ecoli,0
47,murE,+,93166,94653,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase,ecoli,0
48,murF,+,94650,96008,UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase,ecoli,0
49,mraY,+,96002,97084,phospho-N-acetylmuramoyl-pentapeptide transferase?,ecoli,0
50,murD,+,97087,98403,UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase,ecoli,0
51,ftsW,+,98403,99647,cell division%3B membrane protein involved in shape determination,ecoli,0
52,murG,+,99644,100711,N-acetylglucosaminyl transferase,ecoli,0
53,murC,+,100765,102240,UDP-N-acetylmuramate:L-alanine ligase,ecoli,0
54,ddlB,+,102233,103153,D-alanine-D-alanine ligase B%2C affects cell division,ecoli,0
55,ftsQ,+,103155,103985,cell division protein%3B ingrowth of wall at septum,ecoli,0
56,ftsA,+,103982,105244,ATP-binding cell division protein%2C septation process%2C complexes with FtsZ%2C associated with junctions of inner and outer membranes,ecoli,0
57,ftsZ,+,105305,106456,cell division%3B forms circumferential ring%3B tubulin-like GTP-binding protein and GTPase,ecoli,0
58,lpxC,+,106557,107474,UDP-3-O-acyl N-acetylglucosamine deacetylase%3B lipid A biosynthesis,ecoli,0
59,secM,+,107705,108217,regulator of secA translation,ecoli,0
60,secA,+,108279,110984,preprotein translocase%3B secretion protein,ecoli,0
61,mutT,+,111044,111433,7%2C8-dihydro-8-oxoguanine-triphosphatase%2C prefers dGTP%2C causes AT-GC transversions,ecoli,0
62,guaC,+,113444,114487,GMP reductase,ecoli,0
63,ampD,+,118733,119284,regulates ampC,ecoli,0
64,ampE,+,119281,120135,regulates ampC,ecoli,0
65,pdhR,+,122092,122856,transcriptional regulator for pyruvate dehydrogenase complex,ecoli,0
66,aceE,+,123017,125680,pyruvate dehydrogenase (decarboxylase component),ecoli,0
67,aceF,+,125695,127587,pyruvate dehydrogenase (dihydrolipoyltransacetylase component),ecoli,0
68,lpd,+,127912,129336,lipoamide dehydrogenase (NADH)%3B component of 2-oxodehydrogenase and pyruvate complexes%3B L-protein of glycine cleavage complex,ecoli,0
69,acnB,+,131615,134212,aconitate hydrase B,ecoli,0
70,yacL,+,134388,134750,hypothetical protein,ecoli,0
71,cueO,+,137083,138633,multicopper oxidase (laccase),ecoli,0
72,hpt,+,141431,141967,hypoxanthine phosphoribosyltransferase,ecoli,0
73,yadG,+,142779,143705,putative ATP-binding component of a transport system,ecoli,0
74,yadH,+,143702,144472,putative transporter subunit: membrane component of ABC superfamily,ecoli,0
75,yadI,+,144577,145017,putative PTS enzyme II B component,ecoli,0
76,yadE,+,145081,146310,conserved hypothetical protein,ecoli,0
