,Name,Strand,Start,Stop,Note,Genome,Counts
0,dnaA,+,410,1750,binds to the dnaA-box as an ATP-bound complex at the origin of replication during the initiation of chromosomal replication%3B can also affect transcription of multiple genes including itself.,bsubtilis,0
1,dnaN,+,1939,3075,binds the polymerase to DNA and acts as a sliding clamp,bsubtilis,0
2,yaaA,+,3206,3421,'Evidence 3: Function proposed based on presence of conserved amino acid motif%2C structural feature or limited homology%3B Product type pf: factor',bsubtilis,0
3,recF,+,3437,4549,'Required for DNA replication%3B binds preferentially to single-stranded%2C linear DNA',bsubtilis,0
4,yaaB,+,4567,4812,Evidence 4: Homologs of previously reported genes of unknown function,bsubtilis,0
5,gyrB,+,4867,6783,negatively supercoils closed circular double-stranded DNA,bsubtilis,0
6,gyrA,+,6994,9459,negatively supercoils closed circular double-stranded DNA,bsubtilis,0
7,rrnO-16S,+,9810,11364,Evidence 1a: Function experimentally demonstrated in the studied strain%3B Product type n: RNA,bsubtilis,0
8,rrnO-23S,+,11709,14636,Evidence 1a: Function experimentally demonstrated in the studied strain%3B Product type n: RNA,bsubtilis,0
9,rrnO-5S,+,14692,14810,Evidence 1a: Function experimentally demonstrated in the studied strain%3B Product type n: RNA,bsubtilis,0
10,guaB,+,15915,17381,catalyzes the synthesis of xanthosine monophosphate by the NAD+ dependent oxidation of inosine monophosphate,bsubtilis,0
11,dacA,+,17534,18865,'Evidence 1a: Function experimentally demonstrated in the studied strain%3B PubMedId: 8370539%2C 9864321%3B Product type e: enzyme',bsubtilis,0
12,yaaD,+,19062,19946,'with PdxT forms pyridoxal 5'-phosphate from glutamine%2C either ribose 5-phosphate or ribulose 5-phosphate%2C and either glyceraldehyde 3-phosphate or dihydroxyacetone phosphate',bsubtilis,0
13,yaaE,+,19968,20558,with PdxST is involved in the biosynthesis of pyridoxal 5'-phosphate%3B PdxT catalyzes the hydrolysis of glutamine to glutamate and ammonia%3B PdxS utilizes the ammonia to synthesize pyridoxal 5'-phosphate,bsubtilis,0
14,serS,+,20880,22157,'catalyzes a two-step reaction%2C first charging a serine molecule by linking its carboxyl group to the alpha-phosphate of ATP%2C followed by transfer of the aminoacyl-adenylate to its tRNA',bsubtilis,0
15,tadA,+,25852,26337,'Evidence 2a: Function of homologous gene experimentally demonstrated in an other organism%3B PubMedId: 16014871%2C 16700551%3B Product type e: enzyme',bsubtilis,0
