,Name,Strand,Start,Stop,Note,Genome,Counts
0,Capsule_rev,-,1,1290,capsule reverse,capsule,4666
1,yaaA,-,5683,6459,peroxide resistance protein%2C lowers intracellular iron,ecoli,380
2,yaaJ,-,6529,7959,inner membrane transport protein,ecoli,167
3,yaaH,-,9928,10494,inner membrane protein%2C Grp1_Fun34_YaaH family,ecoli,69
4,yaaW,-,10643,11356,conserved protein%2C UPF0174 family,ecoli,65
5,yaaI,-,11382,11786,conserved protein%2C UPF0412 family,ecoli,0
6,mokC,-,16751,16960,regulatory peptide whose translation enables hokC (gef) expression,ecoli,7
7,hokC,-,16751,16903,small toxic membrane polypeptide,ecoli,0
8,insB1,-,19811,20314,IS1 transposase B,ecoli,0
9,insA,-,20233,20508,IS1 repressor TnpA,ecoli,1
10,rpsT,-,20815,21078,30S ribosomal subunit protein S20,ecoli,411
11,caiE,-,34781,35371,possible synthesis of cofactor for carnitine racemase and dehydratase,ecoli,41
12,caiD,-,35377,36162,carnitine racemase,ecoli,21
13,caiC,-,36271,37824,probable crotonobetaine/carnitine-CoA ligase,ecoli,107
14,caiB,-,37898,39115,l-carnitine dehydratase,ecoli,120
15,caiA,-,39244,40386,probable carnitine operon oxidoreductase,ecoli,118
16,caiT,-,40417,41931,probable carnitine transporter,ecoli,18
17,apaH,-,50380,51222,diadenosine tetraphosphatase,ecoli,1859
18,apaG,-,51229,51606,protein associated with Co2+ and Mg2+ efflux,ecoli,861
19,rsmA,-,51609,52430,16S rRNA m(6)A1518%2C m(6)A1519 dimethyltransferase%2C SAM-dependent,ecoli,1621
20,pdxA,-,52427,53416,pyridoxine biosynthesis,ecoli,2737
21,surA,-,53416,54702,survival protein,ecoli,1811
22,lptD,-,54755,57109,organic solvent tolerance,ecoli,5197
23,rluA,-,59687,60346,dual specificity 23S rRNA pseudouridine(746)%2C tRNA pseudouridine(32) synthase%2C SAM-dependent,ecoli,457
24,rapA,-,60358,63264,probable ATP-dependent RNA helicase,ecoli,1785
25,polB,-,63429,65780,DNA polymerase II,ecoli,2098
26,araD,-,65855,66550,L-ribulose-5-phosphate 4-epimerase,ecoli,24
27,araA,-,66835,68337,L-arabinose isomerase,ecoli,102
28,araB,-,68348,70048,L-ribulokinase,ecoli,320
29,thiQ,-,72229,72927,putative ATP-binding component of a transport system,ecoli,287
30,thiP,-,72911,74521,fused thiamin transporter subunits of ABC superfamily: membrane components,ecoli,471
31,thiB,-,74497,75480,thiamin-binding periplasmic protein%3B periplasmic-binding component of ABC superfamily,ecoli,410
32,sgrR,-,75644,77299,putative transport protein,ecoli,1555
33,leuD,-,78848,79453,isopropylmalate isomerase subunit,ecoli,184
34,leuC,-,79464,80864,3-isopropylmalate isomerase (dehydratase) subunit,ecoli,438
35,leuB,-,80867,81958,3-isopropylmalate dehydrogenase%2C NAD(+)-dependent,ecoli,108
36,leuA,-,81958,83529,2-isopropylmalate synthase,ecoli,112
37,leuL,-,83622,83708,leu operon leader peptide,ecoli,0
38,yacG,-,111649,111846,DNA gyrase inhibitor,ecoli,173
39,zapD,-,111856,112599,FtsZ stabilizer,ecoli,394
40,coaE,-,112599,113219,putative DNA repair protein,ecoli,275
41,hofC,-,114522,115724,putative integral membrane protein involved in biogenesis of fimbriae%2C protein transport%2C DNA uptake,ecoli,61
42,hofB,-,115714,117099,putative integral membrane protein involved in biogenesis of fimbriae%2C protein transport%2C DNA uptake,ecoli,118
43,ppdD,-,117109,117549,prelipin peptidase dependent protein,ecoli,1
44,nadC,-,117752,118645,quinolinate phosphoribosyltransferase,ecoli,395
45,aroP,-,120178,121551,aromatic amino acid transport protein,ecoli,253
46,yacH,-,129407,131260,putative membrane protein,ecoli,20
47,speD,-,134788,135582,S-adenosylmethionine decarboxylase,ecoli,49
48,speE,-,135598,136464,spermidine synthase %3D putrescine aminopropyltransferase,ecoli,150
49,yacC,-,136570,136917,conserved protein%2C PulS_OutS family,ecoli,81
50,gcd,-,138835,141225,glucose dehydrogenase,ecoli,474
51,can,-,142008,142670,putative carbonic anhdrase,ecoli,700
52,panD,-,146314,146694,aspartate 1-decarboxylase,ecoli,428
53,panC,-,147944,148795,pantothenate synthetase,ecoli,2548
54,panB,-,148807,149601,3-methyl-2-oxobutanoate hydroxymethyltransferase,ecoli,1392
55,yadC,-,149715,150953,putative fimbrial-like protein,ecoli,4
56,yadK,-,151003,151599,putative fimbrial protein,ecoli,1
57,yadL,-,151626,152231,putative fimbrial protein,ecoli,1
58,yadM,-,152243,152812,putative fimbrial-like protein,ecoli,2
59,htrE,-,152829,155426,probable outer membrane porin protein involved in fimbrial assembly,ecoli,25
60,yadV,-,155461,156201,probable pilin chaperone similar to PapD,ecoli,5
61,yadN,-,156299,156883,putative fimbrial-like protein,ecoli,4
62,folK,-,157253,157732,7%2C8-dihydro-6-hydroxymethylpterin- pyrophosphokinase,ecoli,169
63,pcnB,-,157729,159126,poly(A) polymerase,ecoli,4098
64,gluQ,-,159186,160112,putative tRNA synthetase,ecoli,119
65,dksA,-,160149,160604,dnaK suppressor protein,ecoli,599
66,sfsA,-,160782,161486,probable regulator for maltose metabolism,ecoli,133
67,ligT,-,161501,162031,2'-5' RNA ligase,ecoli,96
68,hemL,-,173602,174882,glutamate-1-semialdehyde aminotransferase (aminomutase),ecoli,2887
69,yadS,-,177001,177624,inner membrane protein%2C UPF0126 family,ecoli,487
70,btuF,-,177662,178462,vitamin B12 transporter subunit: periplasmic-binding component of ABC superfamily,ecoli,431
71,mtn,-,178455,179153,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,ecoli,1561
72,yaeH,-,183709,184095,putative structural protein,ecoli,413
73,yaeI,-,184257,185069,phosphodiesterase with model substrate bis-pNPP,ecoli,289
74,dapD,-,185123,185947,2%2C3%2C4%2C5-tetrahydropyridine-2-carboxylate N-succinyltransferase,ecoli,2553
75,glnD,-,185978,188650,protein PII%3B uridylyltransferase acts on regulator of glnA,ecoli,1980
76,map,-,188712,189506,methionine aminopeptidase,ecoli,547
77,rof,-,213678,213932,modulator of Rho-dependent transcription termination,ecoli,354
78,yaeP,-,213925,214125,conserved hypothetical protein,ecoli,154
79,yaeF,-,216179,217003,putative lipoprotein,ecoli,102
80,proS,-,217057,218775,proline tRNA synthetase,ecoli,2868
81,tsaA,-,218887,219594,tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase%2C SAM-dependent,ecoli,556
82,rcsF,-,219591,219995,regulator in colanic acid synthesis%3B interacts with RcsB,ecoli,153
83,metQ,-,220113,220928,D-methionine transport protein (ABC superfamily%2C peri_bind),ecoli,374
84,metI,-,220968,221621,D- and L-methionine transport protein (ABC superfamily%2C membrane),ecoli,441
85,metN,-,221614,222645,D- and L-methionine transport protein (ABC superfamily%2C atp_bind),ecoli,577
86,yafC,-,229967,230881,putative transcriptional regulator LYSR-type,ecoli,188
87,mltD,-,232597,233955,putative membrane-bound lytic murein transglycosylase D,ecoli,626
88,gloB,-,234027,234782,probable hydroxyacylglutathione hydrolase,ecoli,39
89,rnhA,-,235535,236002,RNase HI%2C degrades RNA of DNA-RNA hybrids%2C participates in DNA replication,ecoli,61
90,ykfM,-,238257,238736,hypothetical protein,ecoli,1
91,yafU,-,238746,239102,pseudogene,ecoli,2
92,yafV,-,239419,240189,putative EC 3.5. amidase-type enzyme,ecoli,722
93,fadE,-,240859,243303,acyl coenzyme A dehydrogenase,ecoli,483
94,yafK,-,245065,245805,hypothetical protein,ecoli,207
95,yafQ,-,245961,246239,translation inhibitor toxin of toxin-antitoxin pair YafQ/DinJ,ecoli,5
96,dinJ,-,246242,246502,damage-inducible protein J,ecoli,6
97,lfhA,-,248358,250070,pseudogene%2C flagellar system protein%2C promoterless fragment~flagellar biosynthesis,ecoli,103
98,pepD,-,254259,255716,aminoacyl-histidine dipeptidase (peptidase D),ecoli,5357
99,phoE,-,258269,259324,outer membrane pore protein E (E%2CIc%2CNmpAB),ecoli,10
100,ykfN,-,262374,262436,pseudogene%2C YdiA family,ecoli,0
101,ykfI,-,262552,262893,CP4-6 prophage%3B toxin of the YkfI-YafW toxin-antitoxin system,ecoli,0
102,yafW,-,262914,263231,CP4-6 prophage%3B antitoxin of the YkfI-YafW toxin-antitoxin system,ecoli,1
103,ykfH,-,263250,263471,hypothetical protein,ecoli,0
104,ykfG,-,263480,263956,putative DNA repair protein,ecoli,1
105,yafX,-,263972,264430,CP4-6 prophage%3B putative protein,ecoli,0
106,ykfF,-,264528,264767,CP4-6 prophage%3B putative protein,ecoli,0
107,ykfB,-,264844,265311,CP4-6 prophage%3B putative protein,ecoli,21
108,yafY,-,265334,265777,hypothetical transcriptional regulator,ecoli,23
109,ykfL,-,265777,265998,pseudogene%2C CP4-6 putative prophage remnant%3BPhage or Prophage Related,ecoli,9
110,ykfK,-,266000,266191,CP4-6 prophage%3B predicted DNA-binding transcriptional regulator%3BPhage or Prophage Related,ecoli,0
111,yafZ,-,266408,267229,CP4-6 prophage%3B conserved protein,ecoli,18
112,ykfA,-,267321,268184,putative GTP-binding protein,ecoli,464
113,perR,-,268513,269406,peroxide resistance protein,ecoli,35
114,insH1,-,273325,274341,IS5 transposase and trans-activator,ecoli,1
115,afuC,-,276980,278026,putative ATP-binding component of a transport system,ecoli,92
116,afuB,-,278038,278385,pseudogene%2C CP4-6 prophage%3B predicted ferric transporter subunit%3BPhage or Prophage Related,ecoli,23
117,insB1,-,278402,278905,IS1 transposase B,ecoli,0
118,insA,-,278824,279099,IS1 repressor TnpA,ecoli,3
119,insX,-,279338,279586,pseudogene%2C predicted IS3 family transposase,ecoli,28
120,yagB,-,279651,279959,pseudogene%2C CP4-6 prophage%3BPhage or Prophage Related,ecoli,12
121,yagA,-,280053,281207,CP4-6 prophage%3B predicted DNA-binding transcriptional regulator,ecoli,39
122,yagI,-,287628,288386,putative regulator,ecoli,2677
123,argF,-,288525,289529,ornithine carbamoyltransferase 2%2C chain F,ecoli,388
124,insB1,-,289873,290376,IS1 transposase B,ecoli,0
