,Name,Strand,Start,Stop,Note,Genome,Counts
0,Capsule_rev,-,1,1290,capsule reverse,capsule,1320
1,yaaA,-,5683,6459,peroxide resistance protein%2C lowers intracellular iron,ecoli,742
2,yaaJ,-,6529,7959,inner membrane transport protein,ecoli,203
3,yaaH,-,9928,10494,inner membrane protein%2C Grp1_Fun34_YaaH family,ecoli,165
4,yaaW,-,10643,11356,conserved protein%2C UPF0174 family,ecoli,125
5,yaaI,-,11382,11786,conserved protein%2C UPF0412 family,ecoli,1
6,mokC,-,16751,16960,regulatory peptide whose translation enables hokC (gef) expression,ecoli,17
7,hokC,-,16751,16903,small toxic membrane polypeptide,ecoli,0
8,insB1,-,19811,20314,IS1 transposase B,ecoli,0
9,insA,-,20233,20508,IS1 repressor TnpA,ecoli,0
10,rpsT,-,20815,21078,30S ribosomal subunit protein S20,ecoli,4017
11,caiE,-,34781,35371,possible synthesis of cofactor for carnitine racemase and dehydratase,ecoli,90
12,caiD,-,35377,36162,carnitine racemase,ecoli,51
13,caiC,-,36271,37824,probable crotonobetaine/carnitine-CoA ligase,ecoli,228
14,caiB,-,37898,39115,l-carnitine dehydratase,ecoli,499
15,caiA,-,39244,40386,probable carnitine operon oxidoreductase,ecoli,290
16,caiT,-,40417,41931,probable carnitine transporter,ecoli,30
17,apaH,-,50380,51222,diadenosine tetraphosphatase,ecoli,1712
18,apaG,-,51229,51606,protein associated with Co2+ and Mg2+ efflux,ecoli,1157
19,rsmA,-,51609,52430,16S rRNA m(6)A1518%2C m(6)A1519 dimethyltransferase%2C SAM-dependent,ecoli,1826
20,pdxA,-,52427,53416,pyridoxine biosynthesis,ecoli,4160
21,surA,-,53416,54702,survival protein,ecoli,2092
22,lptD,-,54755,57109,organic solvent tolerance,ecoli,11603
23,rluA,-,59687,60346,dual specificity 23S rRNA pseudouridine(746)%2C tRNA pseudouridine(32) synthase%2C SAM-dependent,ecoli,1642
24,rapA,-,60358,63264,probable ATP-dependent RNA helicase,ecoli,6734
25,polB,-,63429,65780,DNA polymerase II,ecoli,2989
26,araD,-,65855,66550,L-ribulose-5-phosphate 4-epimerase,ecoli,23
27,araA,-,66835,68337,L-arabinose isomerase,ecoli,116
28,araB,-,68348,70048,L-ribulokinase,ecoli,254
29,thiQ,-,72229,72927,putative ATP-binding component of a transport system,ecoli,1396
30,thiP,-,72911,74521,fused thiamin transporter subunits of ABC superfamily: membrane components,ecoli,1447
31,thiB,-,74497,75480,thiamin-binding periplasmic protein%3B periplasmic-binding component of ABC superfamily,ecoli,2170
32,sgrR,-,75644,77299,putative transport protein,ecoli,1945
33,leuD,-,78848,79453,isopropylmalate isomerase subunit,ecoli,337
34,leuC,-,79464,80864,3-isopropylmalate isomerase (dehydratase) subunit,ecoli,1301
35,leuB,-,80867,81958,3-isopropylmalate dehydrogenase%2C NAD(+)-dependent,ecoli,429
36,leuA,-,81958,83529,2-isopropylmalate synthase,ecoli,423
37,leuL,-,83622,83708,leu operon leader peptide,ecoli,2
38,yacG,-,111649,111846,DNA gyrase inhibitor,ecoli,356
39,zapD,-,111856,112599,FtsZ stabilizer,ecoli,1190
40,coaE,-,112599,113219,putative DNA repair protein,ecoli,593
41,hofC,-,114522,115724,putative integral membrane protein involved in biogenesis of fimbriae%2C protein transport%2C DNA uptake,ecoli,188
42,hofB,-,115714,117099,putative integral membrane protein involved in biogenesis of fimbriae%2C protein transport%2C DNA uptake,ecoli,493
43,ppdD,-,117109,117549,prelipin peptidase dependent protein,ecoli,7
44,nadC,-,117752,118645,quinolinate phosphoribosyltransferase,ecoli,696
45,aroP,-,120178,121551,aromatic amino acid transport protein,ecoli,418
46,yacH,-,129407,131260,putative membrane protein,ecoli,39
47,speD,-,134788,135582,S-adenosylmethionine decarboxylase,ecoli,79
48,speE,-,135598,136464,spermidine synthase %3D putrescine aminopropyltransferase,ecoli,643
49,yacC,-,136570,136917,conserved protein%2C PulS_OutS family,ecoli,204
50,gcd,-,138835,141225,glucose dehydrogenase,ecoli,773
51,can,-,142008,142670,putative carbonic anhdrase,ecoli,1397
52,panD,-,146314,146694,aspartate 1-decarboxylase,ecoli,964
53,panC,-,147944,148795,pantothenate synthetase,ecoli,4219
54,panB,-,148807,149601,3-methyl-2-oxobutanoate hydroxymethyltransferase,ecoli,2526
55,yadC,-,149715,150953,putative fimbrial-like protein,ecoli,14
56,yadK,-,151003,151599,putative fimbrial protein,ecoli,3
57,yadL,-,151626,152231,putative fimbrial protein,ecoli,5
58,yadM,-,152243,152812,putative fimbrial-like protein,ecoli,14
59,htrE,-,152829,155426,probable outer membrane porin protein involved in fimbrial assembly,ecoli,28
60,yadV,-,155461,156201,probable pilin chaperone similar to PapD,ecoli,0
61,yadN,-,156299,156883,putative fimbrial-like protein,ecoli,5
62,folK,-,157253,157732,7%2C8-dihydro-6-hydroxymethylpterin- pyrophosphokinase,ecoli,265
63,pcnB,-,157729,159126,poly(A) polymerase,ecoli,13557
64,gluQ,-,159186,160112,putative tRNA synthetase,ecoli,381
65,dksA,-,160149,160604,dnaK suppressor protein,ecoli,3500
66,sfsA,-,160782,161486,probable regulator for maltose metabolism,ecoli,493
67,ligT,-,161501,162031,2'-5' RNA ligase,ecoli,146
68,hemL,-,173602,174882,glutamate-1-semialdehyde aminotransferase (aminomutase),ecoli,3756
69,yadS,-,177001,177624,inner membrane protein%2C UPF0126 family,ecoli,1517
70,btuF,-,177662,178462,vitamin B12 transporter subunit: periplasmic-binding component of ABC superfamily,ecoli,635
71,mtn,-,178455,179153,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,ecoli,2801
72,yaeH,-,183709,184095,putative structural protein,ecoli,642
73,yaeI,-,184257,185069,phosphodiesterase with model substrate bis-pNPP,ecoli,177
74,dapD,-,185123,185947,2%2C3%2C4%2C5-tetrahydropyridine-2-carboxylate N-succinyltransferase,ecoli,3780
