,Name,Strand,Start,Stop,Note,Genome,Counts
0,Capsule_rev,-,1,1290,capsule reverse,capsule,1271
1,yaaA,-,5683,6459,peroxide resistance protein%2C lowers intracellular iron,ecoli,1675
2,yaaJ,-,6529,7959,inner membrane transport protein,ecoli,371
3,yaaH,-,9928,10494,inner membrane protein%2C Grp1_Fun34_YaaH family,ecoli,371
4,yaaW,-,10643,11356,conserved protein%2C UPF0174 family,ecoli,219
5,yaaI,-,11382,11786,conserved protein%2C UPF0412 family,ecoli,2
6,mokC,-,16751,16960,regulatory peptide whose translation enables hokC (gef) expression,ecoli,46
7,hokC,-,16751,16903,small toxic membrane polypeptide,ecoli,0
8,insB1,-,19811,20314,IS1 transposase B,ecoli,0
9,insA,-,20233,20508,IS1 repressor TnpA,ecoli,1
10,rpsT,-,20815,21078,30S ribosomal subunit protein S20,ecoli,3621
11,caiE,-,34781,35371,possible synthesis of cofactor for carnitine racemase and dehydratase,ecoli,152
12,caiD,-,35377,36162,carnitine racemase,ecoli,103
13,caiC,-,36271,37824,probable crotonobetaine/carnitine-CoA ligase,ecoli,546
14,caiB,-,37898,39115,l-carnitine dehydratase,ecoli,1149
15,caiA,-,39244,40386,probable carnitine operon oxidoreductase,ecoli,592
16,caiT,-,40417,41931,probable carnitine transporter,ecoli,70
17,apaH,-,50380,51222,diadenosine tetraphosphatase,ecoli,5123
18,apaG,-,51229,51606,protein associated with Co2+ and Mg2+ efflux,ecoli,3175
19,rsmA,-,51609,52430,16S rRNA m(6)A1518%2C m(6)A1519 dimethyltransferase%2C SAM-dependent,ecoli,6139
20,pdxA,-,52427,53416,pyridoxine biosynthesis,ecoli,9549
21,surA,-,53416,54702,survival protein,ecoli,5435
22,lptD,-,54755,57109,organic solvent tolerance,ecoli,25731
23,rluA,-,59687,60346,dual specificity 23S rRNA pseudouridine(746)%2C tRNA pseudouridine(32) synthase%2C SAM-dependent,ecoli,2681
24,rapA,-,60358,63264,probable ATP-dependent RNA helicase,ecoli,13737
25,polB,-,63429,65780,DNA polymerase II,ecoli,7054
26,araD,-,65855,66550,L-ribulose-5-phosphate 4-epimerase,ecoli,68
27,araA,-,66835,68337,L-arabinose isomerase,ecoli,477
28,araB,-,68348,70048,L-ribulokinase,ecoli,976
